wineries-el-enemigo-wines-gran-enemigo-gualtallary-cabernet-franc-2012;El Enemigo Gran Enemigo Single Vineyard  Cabernet Franc;Gualtallary;2012;--
wineries-catena-zapata-wines-1140281-nicolas-catena-zapata-2008;Catena Zapata Nicolás Catena Zapata;Mendoza;2008;--
wineries-catena-zapata-wines-nicols-malbec-2007;Catena Zapata Nicolás Catena Zapata;Mendoza;2007;--
wineries-bodega-luigi-bosca-wines-icono-2009;Luigi Bosca Icono;Lujan de Cuyo;2009;--
wineries-familia-cassone-wines-obra-prima-gran-reserva-mendoza-malbec-2011;Bodega Familia Cassone Obra Prima Colección Gran Reserva Malbec;Mendoza;2011;--
wineries-alta-vista-wines-serenade-lujn-de-cuyo-malbec-2007;Alta Vista Single Vineyard Serenade Malbec;Lujan de Cuyo;2007;--
wineries-luca-wines-beso-de-dante-2007;Luca Beso De Dante;Mendoza;2007;--
wineries-altos-las-hormigas-wines-vista-flores-mendoza-2006;Altos Las Hormigas Malbec;Vista Flores;2006;--
wineries-bodega-luigi-bosca-wines-la-linda-cabernet-sauvignon-2014;Luigi Bosca Finca La Linda Cabernet Sauvignon;Barrancas;2014;--
wineries-la-posta-wines-mendoza-cocina-malbec-syrah-bonarda-2012;La Posta Cocina Malbec - Syrah - Bonarda;Mendoza;2012;--
wineries-zolo-wines-zolo-cabernet-sauvignon-reserve-2013;Zolo Reserve Cabernet Sauvignon;Mendoza;2013;--
wineries-bodega-humberto-canale-wines-estate-malbec-2014;Humberto Canale Estate Malbec;Rio Negro;2014;--
wineries-dona-paula-wines-estate-lujan-de-cuyo-mendoza-cabernet-sauvignon-2013;Doña Paula Estate Cabernet Sauvignon;Lujan de Cuyo;2013;--
wineries-alta-vista-wines-premium-chardonnay-2014;Alta Vista Premium Chardonnay;Mendoza;2014;--
wineries-bodega-ruca-malen-wines-mendoza-reserva-cabernet-sauvignon-2013;Ruca Malen Cabernet Sauvignon Reserva;Mendoza;2013;--
wineries-ar-terrazas-de-los-andes-wines-altos-del-plata-cabernet-sauvignon-2015;Terrazas de los Andes Altos del Plata Cabernet Sauvignon;Mendoza;2015;--
wineries-aniello-wines-006-pinot-noir-2015;Aniello 006 Pinot Noir;Rio Negro;2015;--
wineries-jean-bousquet-wines-domaine-bousquet-premium-merlot-2014;Domaine Bousquet Premium Merlot;Tupungato;2014;--
wineries-ar-tierra-divina-wines-terra-rosa-malbec-2014;Tierra Divina Terra Rosa Malbec;Mendoza;2014;--
wineries-bodega-luigi-bosca-wines-la-linda-malbec-2014;Luigi Bosca Finca La Linda Malbec;Vistalba;2014;--
wineries-trapiche-wines-mendoza-oak-cask-malbec-2014;Trapiche Oak Cask Malbec;Mendoza;2014;--
wineries-graffigna-wines-centenario-reserve-malbec-2012;Graffigna Malbec Reserve Centenario;Valle de Tulum;2012;--
wineries-ar-rutini-wines-trumpeter-malbec-2015;Rutini Trumpeter Malbec;Mendoza;2015;--
wineries-hacienda-los-haroldos-wines-mendoza-torrontes-2015;Los Haroldos Torrontes;Mendoza;2015;--
wineries-zolo-wines-zolo-malbec-2015;Zolo Malbec;Mendoza;2015;--
wineries-callia-wines-lunaris-malbec-2014;Callia Lunaris Malbec;San Juan;2014;--
wineries-terra-andina-wines-rich-malbec-2012;Terra Andina Malbec Rich;Mendoza;2012;--
wineries-filus-wines-uco-valley-mendoza-malbec-2014;Filus Malbec;Valle de Uco;2014;--
wineries-sottano-wines-chardonnay-2015;Sottano Chardonnay;Lujan de Cuyo;2015;--
wineries-chakana-wines-syrah-2014;Chakana Wines Nuna Estate Syrah;Mendoza;2014;--
wineries-high-note-wines-elevated-malbec-2014;High Note Elevated Malbec;Valle de Uco;2014;--
wineries-altos-las-hormigas-wines-mendoza-malbec-clasico-8888;Altos Las Hormigas Malbec Clásico;Lunlunta;--;--
wineries-jean-bousquet-wines-malbec-cabernet-premium-rose-8888;Domaine Bousquet Premium Malbec - Cabernet Rosé;Tupungato;--;--
wineries-alamos-winery-wines-alamos-mendoza-cabernet-sauvignon-8888;Alamos Cabernet Sauvignon;Mendoza;--;--
wineries-alamos-winery-wines-chardonnay-8888;Alamos Chardonnay;Mendoza;--;--
wineries-trapiche-wines-mendoza-oak-cask-cabernet-sauvignon-8888;Trapiche Oak Cask Cabernet Sauvignon;Mendoza;--;--
wineries-ar-crios-wines-crios-malbec-2013;Crios Malbec;Agrelo;2013;--
wineries-graffigna-wines-pinot-grigio-reserve-centenario-8888;Graffigna Pinot Grigio Reserve Centenario;Valle de Tulum;--;--
wineries-dona-paula-wines-paula-malbec-2015;Doña Paula Paula Malbec;Lujan de Cuyo;2015;--
wineries-trivento-bodegas-y-vinedos-sa-wines-mendoza-reserva-cabernet-sauvignon-2014;Trivento Reserve Cabernet Sauvignon;Mendoza;2014;--
